# Dlat (m),Dlon (m),DAlt (m)
-5850.37489,-17762.51568,32.72727273
-4929.728218,22551.74931,21.78787879
-4823.153902,24976.78414,25.18181818
-4782.744474,-21304.95747,19.6969697
-4586.581123,14888.49019,49.6969697
-4466.907047,3797.615114,45.75757576
-3995.759757,7817.905674,50
-3054.908371,19686.64991,43.63636364
-2185.328559,17028.75697,40.24242424
-2018.473145,24821.57428,25.15151515
-1131.575006,13837.72554,41.75757576
549.0797588,14213.22766,50.33333333
642.5543154,18788.2353,35.45454545
687.5153551,7934.464722,42.45454545
893.7810631,11635.06284,43.33333333
2532.583206,-2820.945618,40.03030303
3323.56446,-10079.49785,22.15151515
3737.31704,13298.00082,52.45454545
4493.439611,23170.68219,45.48484848
5149.759776,16306.61084,44.84848485
5762.118035,20436.96087,30.3030303
6821.422333,-20118.65501,22.72727273
